Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Pace,Best Pace,Training Stress Score®,Total Strokes,Avg. Swolf,Avg Stroke Rate,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time
Pool Swim,2026-06-17 09:49:13,false,"Pool Swim","2,025","467","00:52:02","154","170","3.6","2:34","1:09","0.0","1228","54","24","--","No","00:01:57.3","6","--","00:52:02","00:54:40"
Pool Swim,2026-06-14 12:18:05,false,"Pool Swim","5,000","1,099","02:15:14","163","191","5.0","2:42","2:14","0.0","3160","56","23","--","No","00:02:06.2","10","--","02:15:02","02:18:21"
Pool Swim,2026-06-09 13:02:30,false,"Pool Swim","3,000","491","01:18:58","137","166","3.0","2:37","1:54","0.0","1876","55","24","--","No","00:00:17.7","5","--","01:18:40","01:32:30"
Pool Swim,2026-06-07 13:41:26,false,"Pool Swim","1,000","227","00:24:32","148","168","2.6","2:27","2:09","0.0","616","52","25","--","No","00:24:32","1","--","00:24:32","00:24:37"
Pool Swim,2026-06-01 12:18:06,false,"Pool Swim","5,025","1,531","02:35:02","187","220","5.0","2:56","2:20","0.0","3147","60","21","--","No","00:00:00.7","21","--","02:27:11","02:35:10"
Pool Swim,2026-05-30 13:19:31,false,"Pool Swim","4,200","1,156","02:07:10","160","198","4.4","2:46","2:15","0.0","2452","56","21","--","No","00:00:00.8","19","--","01:56:22","02:07:25"
Pool Swim,2026-05-23 12:07:43,false,"Pool Swim","7,025","1,845","03:22:05","166","186","5.0","2:42","0:59","0.0","4379","56","23","--","No","00:00:00.6","25","--","03:09:20","03:22:14"
Pool Swim,2026-05-16 13:20:46,false,"Pool Swim","4,025","891","01:50:49","149","184","4.0","2:34","2:15","0.0","2480","54","24","--","No","00:00:00.5","25","--","01:43:24","01:50:54"
Pool Swim,2026-05-12 09:25:02,false,"Pool Swim","6,000","1,755","04:20:40","141","183","5.0","2:38","2:05","0.0","3683","55","23","--","No","00:00:00.7","31","--","02:37:39","04:20:47"
Pool Swim,2026-05-10 13:09:52,false,"Pool Swim","5,125","1,384","02:26:49","167","187","5.0","2:42","0:45","0.0","3204","56","23","--","No","00:00:00.6","19","--","02:18:40","02:27:30"
Pool Swim,2026-05-09 15:02:45,false,"Pool Swim","1,025","213","00:23:21","150","171","2.6","2:17","1:17","0.0","588","49","25","--","No","00:23:21","1","--","00:23:21","00:23:26"
Pool Swim,2026-05-09 14:03:40,false,"Pool Swim","1,600","194","00:45:44","105","157","0.7","2:37","1:05","0.0","884","53","21","--","No","00:00:00.9","5","--","00:42:02","00:45:51"
Pool Swim,2026-05-08 08:30:37,false,"Pool Swim","3,550","760","01:28:50","151","185","3.9","2:30","2:16","0.0","2166","53","24","--","No","00:02:23.1","7","--","01:28:50","01:31:12"
Pool Swim,2026-05-06 08:56:32,false,"Pool Swim","3,550","700","01:27:19","148","180","3.5","2:27","0:58","0.0","2080","52","24","--","No","00:00:40.7","9","--","01:27:19","01:30:48"
Pool Swim,2026-05-03 14:27:09,false,"Pool Swim","2,000","523","00:50:20","168","184","4.2","2:31","1:54","0.0","1197","53","24","--","No","00:00:04.4","4","--","00:50:15","00:51:10"
Pool Swim,2026-04-24 09:08:15,false,"Pool Swim","2,550","623","01:03:40","167","192","4.6","2:30","1:34","0.0","1515","52","24","--","No","00:01:48.8","10","--","01:03:40","01:15:54"
Pool Swim,2026-04-18 12:21:35,false,"Pool Swim","5,000","1,232","02:06:36","171","195","5.0","2:32","1:00","0.0","2951","53","23","--","No","00:00:03.0","16","--","02:06:33","02:23:48"
Pool Swim,2026-04-14 09:17:23,false,"Pool Swim","3,500","862","01:31:54","163","176","4.9","2:37","0:51","0.0","2034","54","22","--","No","00:02:32.5","7","--","01:31:54","01:38:58"
Pool Swim,2026-04-11 09:59:45,false,"Pool Swim","3,025","676","01:14:57","156","188","5.0","2:29","0:48","0.0","1780","52","24","--","No","00:04:22.8","6","--","01:14:57","01:18:27"
Pool Swim,2026-04-10 08:25:08,false,"Pool Swim","4,050","1,016","01:43:56","168","185","5.0","2:34","2:15","0.0","2401","53","23","--","No","00:03:45.1","6","--","01:43:56","01:46:45"
Pool Swim,2026-04-08 14:05:13,false,"Pool Swim","2,500","384","01:06:26","129","155","3.1","2:39","2:06","0.0","1486","55","22","--","No","01:06:26","1","--","01:06:26","01:06:35"
Pool Swim,2026-04-06 13:11:48,false,"Pool Swim","2,000","568","00:53:07","178","191","5.0","2:39","2:11","0.0","1224","55","23","--","No","00:53:07","1","--","00:53:07","00:53:14"
Pool Swim,2026-03-21 11:30:47,false,"Pool Swim","2,000","551","00:52:46","164","181","5.0","2:38","1:39","0.0","1157","54","22","--","No","00:52:46","1","--","00:52:46","00:52:52"
Pool Swim,2026-03-07 09:20:03,false,"Pool Swim","3,000","644","01:21:59","148","163","3.5","2:44","2:27","0.0","1864","57","23","--","No","01:21:59","1","--","01:21:59","01:22:12"
Pool Swim,2026-03-04 14:43:37,false,"Pool Swim","2,025","476","00:54:50","151","179","3.5","2:42","0:42","0.0","1244","56","23","--","No","00:54:50","1","--","00:54:50","00:54:56"
Pool Swim,2026-03-03 14:52:14,false,"Pool Swim","2,000","314","00:54:20","130","171","2.7","2:43","1:11","0.0","1196","56","22","--","No","00:54:20","1","--","00:54:20","00:54:45"
Pool Swim,2026-03-01 13:07:21,false,"Pool Swim","2,525","649","01:07:42","160","179","4.9","2:41","1:03","0.0","1543","55","23","--","No","01:07:42","1","--","01:07:42","01:07:51"
Pool Swim,2026-02-27 10:50:45,false,"Pool Swim","2,025","579","00:56:08","169","179","5.0","2:46","2:27","0.0","1281","57","23","--","No","00:00:07.1","3","--","00:56:01","00:56:48"
Pool Swim,2026-02-25 10:13:20,false,"Pool Swim","2,000","309","00:57:18","122","138","2.2","2:52","2:32","0.0","1291","59","23","--","No","00:57:18","1","--","00:57:18","00:57:29"
Pool Swim,2026-02-20 16:11:33,false,"Pool Swim","100","28","00:02:39.1","164","173","1.6","2:39","2:33","0.0","60","55","23","--","No","00:02:39.1","1","--","00:02:39.1","00:02:46.8"
Pool Swim,2026-02-20 15:31:01,false,"Pool Swim","1,400","352","00:38:15","154","178","4.3","2:43","1:24","0.0","849","56","22","--","No","00:17:55","2","--","00:38:07","00:39:56"
Pool Swim,2026-02-17 11:17:52,false,"Pool Swim","1,525","275","00:42:05","129","175","3.1","2:46","0:50","0.0","930","57","22","--","No","00:42:05","1","--","00:42:05","00:42:14"
Pool Swim,2026-02-14 12:53:15,false,"Pool Swim","1,025","280","00:28:33","156","177","4.2","2:47","2:20","0.0","643","57","23","--","No","00:28:33","1","--","00:28:33","00:29:30"
Pool Swim,2026-02-11 14:58:08,false,"Pool Swim","1,000","187","00:27:43","129","143","2.3","2:46","0:59","0.0","624","57","23","--","No","00:27:43","1","--","00:27:43","00:27:50"
Pool Swim,2026-02-09 15:12:26,false,"Pool Workout 1 & 2","1,025","246","00:30:14","141","162","3.2","2:57","2:34","0.0","673","61","22","--","No","00:30:14","1","--","00:30:14","00:30:34"
Pool Swim,2026-02-08 08:52:07,false,"Pool Swim","1,525","453","00:43:39","166","177","5.0","2:52","0:45","0.0","995","59","23","--","No","00:43:39","1","--","00:43:39","00:43:46"
Pool Swim,2026-02-07 12:30:42,false,"Pool Swim","1,025","195","00:30:10","128","145","2.4","2:57","0:51","0.0","676","61","22","--","No","00:30:10","1","--","00:30:10","00:30:17"
Pool Swim,2026-02-02 15:14:42,false,"Pool Swim","725","200","00:23:18","143","180","3.3","3:13","2:26","0.0","507","66","22","--","No","00:23:18","1","--","00:23:18","00:23:29"
Open Water Swimming,2024-06-23 11:25:25,false,"Open Water Swimming","1,988","669","01:27:04","178","222","5.0","4:22","0:26","0.0","1689","87","20","24.0","No","00:06:18.5","5","30.0","01:00:28","01:27:04"
Pool Swim,2024-05-25 14:40:52,false,"Pool Swim","500","92","00:12:19","154","185","2.3","2:28","1:00","0.0","241","49","20","--","No","00:02:51.0","2","--","00:12:19","00:13:01"
